
2024-02-03 05:47:37 - INFO - Game started
2024-02-03 05:47:47 - INFO - Game started
2024-02-03 05:47:57 - INFO - Caterpillar moved U
2024-02-03 05:48:12 - INFO - Caterpillar moved U
2024-02-03 05:48:14 - INFO - Caterpillar moved U
2024-02-03 05:48:15 - INFO - Caterpillar moved U
2024-02-03 05:48:16 - INFO - Caterpillar moved U
2024-02-03 05:48:18 - INFO - Caterpillar moved R
2024-02-03 05:48:19 - INFO - Caterpillar moved R
2024-02-03 05:48:19 - INFO - Caterpillar moved R
2024-02-03 05:48:20 - INFO - Caterpillar moved R
2024-02-03 05:48:20 - INFO - Caterpillar moved R
2024-02-03 05:48:20 - INFO - Caterpillar moved R
2024-02-03 05:48:21 - INFO - Caterpillar moved R
2024-02-03 05:48:21 - INFO - Caterpillar moved R
2024-02-03 05:48:21 - INFO - Caterpillar moved R
2024-02-03 05:48:26 - INFO - Caterpillar moved U
2024-02-03 05:48:29 - INFO - Caterpillar moved L
2024-02-03 05:48:31 - INFO - Caterpillar moved L
2024-02-03 05:48:32 - INFO - Caterpillar moved L
2024-02-03 05:48:32 - INFO - Caterpillar moved L
2024-02-03 05:48:34 - INFO - Caterpillar moved U
2024-02-03 05:48:34 - INFO - Caterpillar moved U
2024-02-03 05:48:35 - INFO - Caterpillar moved U
2024-02-03 05:48:35 - INFO - Caterpillar moved U
2024-02-03 05:48:37 - INFO - Caterpillar moved L
2024-02-03 05:48:39 - INFO - Caterpillar moved L
2024-02-03 05:48:41 - INFO - Caterpillar moved U
2024-02-03 05:48:44 - INFO - Caterpillar moved R
2024-02-03 05:48:45 - INFO - Caterpillar moved R
2024-02-03 05:48:45 - INFO - Caterpillar moved R
2024-02-03 05:48:46 - INFO - Caterpillar moved R
2024-02-03 05:48:46 - INFO - Caterpillar moved R
2024-02-03 05:48:49 - INFO - Caterpillar moved U
2024-02-03 05:48:51 - INFO - Caterpillar moved L
2024-02-03 05:48:51 - INFO - Caterpillar moved L
2024-02-03 05:48:51 - INFO - Caterpillar moved L
2024-02-03 05:48:52 - INFO - Caterpillar moved L
2024-02-03 05:48:52 - INFO - Caterpillar moved L
2024-02-03 05:48:53 - INFO - Caterpillar moved L
2024-02-03 05:48:54 - INFO - Caterpillar moved L
2024-02-03 05:48:57 - INFO - Caterpillar moved D
2024-02-03 05:48:58 - INFO - Caterpillar moved D
2024-02-03 05:48:58 - INFO - Caterpillar moved D
2024-02-03 05:48:58 - INFO - Caterpillar moved D
2024-02-03 05:48:59 - INFO - Caterpillar moved D
2024-02-03 05:48:59 - INFO - Caterpillar moved D
2024-02-03 05:48:59 - INFO - Caterpillar moved D
2024-02-03 05:48:59 - INFO - Caterpillar moved D
2024-02-03 05:49:00 - INFO - Caterpillar moved D
2024-02-03 05:49:00 - INFO - Caterpillar moved D
2024-02-03 05:49:02 - INFO - Caterpillar moved R
2024-02-03 05:49:03 - INFO - Caterpillar moved R
2024-02-03 05:49:03 - INFO - Caterpillar moved R
2024-02-03 05:49:03 - INFO - Caterpillar moved R
2024-02-03 05:49:03 - INFO - Caterpillar moved R
2024-02-03 05:49:03 - INFO - Caterpillar moved R
2024-02-03 05:49:04 - INFO - Caterpillar moved R
2024-02-03 05:49:04 - INFO - Caterpillar moved R
2024-02-03 05:49:04 - INFO - Caterpillar moved R
2024-02-03 05:49:04 - INFO - Caterpillar moved R
2024-02-03 05:49:05 - INFO - Caterpillar moved R
